Topic,Source,Year,Rank,Word,Beta,SourceRank,InSharedTopK
0,ILR,1982,1,level,5.635722e-03,13,False
0,ILR,1982,2,worker,5.272318e-03,16,False
0,ILR,1982,3,policy,4.845529e-03,20,False
0,ILR,1982,4,number,4.633716e-03,21,False
0,ILR,1982,5,change,4.357000e-03,25,False
0,ILR,1982,6,include,4.200817e-03,28,False
0,ILR,1982,7,result,4.054093e-03,29,False
0,ILR,1987,1,rate,6.256996e-03,10,False
0,ILR,1987,2,level,5.252964e-03,17,False
0,ILR,1987,3,policy,5.207139e-03,18,False
0,ILR,1987,4,case,4.497400e-03,19,False
0,ILR,1987,5,trade,4.203140e-03,22,False
0,ILR,1987,6,group,4.008087e-03,23,False
0,ILR,1987,7,demand,3.971450e-03,24,False
0,ILR,1987,8,reduce,3.637222e-03,26,False
0,ILR,1987,9,base,3.618694e-03,27,False
0,ILR,1987,10,develop,3.577506e-03,29,False
0,ILR,1992,1,policy,4.277781e-03,18,False
0,ILR,1992,2,labor,4.199621e-03,20,False
0,ILR,1992,3,increase,4.022586e-03,23,False
0,ILR,1992,4,economic,4.015341e-03,24,False
0,ILR,1992,5,price,3.776935e-03,28,False
0,ILR,1992,6,income,3.711099e-03,29,False
0,ILR,1992,7,case,3.652346e-03,30,False
0,ILR,1997,1,system,3.458267e-03,18,False
0,ILR,1997,2,profit,2.683787e-03,21,False
0,ILR,1997,3,change,2.643434e-03,22,False
0,ILR,1997,4,relationship,2.639248e-03,23,False
0,ILR,1997,5,price,2.570889e-03,25,False
0,ILR,1997,6,organization,2.563538e-03,26,False
0,ILR,1997,7,quality,2.401663e-03,29,False
0,ILR,1997,8,result,2.383056e-03,30,False
0,ILR,2002,1,level,3.537528e-03,23,False
0,ILR,2002,2,country,3.504864e-03,24,False
0,ILR,2002,3,reduce,3.393647e-03,26,False
0,ILR,2002,4,study,3.335829e-03,27,False
0,ILR,2002,5,cost,3.160751e-03,29,False
0,ILR,2002,6,labor,3.127998e-03,30,False
0,ILR,2007,1,industry,4.984076e-03,18,False
0,ILR,2007,2,result,4.695969e-03,20,False
0,ILR,2007,3,base,4.543091e-03,21,False
0,ILR,2007,4,group,4.469585e-03,22,False
0,ILR,2007,5,price,4.433519e-03,23,False
0,ILR,2007,6,low,4.124944e-03,27,False
0,ILR,2007,7,demand,3.944579e-03,28,False
0,ILR,2012,1,social,2.777024e-03,14,False
0,ILR,2012,2,worker,2.440215e-03,16,False
0,ILR,2012,3,cost,2.398653e-03,17,False
0,ILR,2012,4,rate,2.382780e-03,18,False
0,ILR,2012,5,labor,2.324802e-03,20,False
0,ILR,2012,6,base,2.193987e-03,23,False
0,ILR,2012,7,year,2.155943e-03,25,False
0,ILR,2012,8,job,2.113239e-03,26,False
0,ILR,2012,9,group,2.099331e-03,27,False
0,ILR,2012,10,country,2.033926e-03,28,False
0,ILR,2012,11,payment,2.030394e-03,29,False
0,ILR,2012,12,member,2.010500e-03,30,False
0,ILR,2017,1,country,4.725771e-03,12,False
0,ILR,2017,2,level,4.413899e-03,16,False
0,ILR,2017,3,increase,4.018989e-03,18,False
0,ILR,2017,4,social,3.806113e-03,22,False
0,ILR,2017,5,worker,3.673261e-03,26,False
0,ILR,2017,6,pay,3.667913e-03,27,False
